№ п/п;№ ведомости прошедшего года;Время вступления;Содержание дел
;-;III Отделения I Стола;;
65;64;1843 8 марта;О ревизии отчетности хлебного запасного капитала с 1840 по 1848 г. как Енисейскою Казенною палатою, так и учрежденной Комиссиею для приведения в порядок дел по этому капиталу, равно и об отошедших от инородцев землях под золотые промысла, и о прочем.
66;65;1847 31 июля;О незаконной продаже рухляди бывшим туруханским отдельным заседателем Яковицким.
67;66;1853 12 ноября;О взыскании хлебной недоимки с мещан г. Туруханска.
68;67;1854 29 января;О производстве следствия над казаком Полигузовым о не записанном на приход хлебе в бытность его вахтером Песковского магазина.
