№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
,220,1849 27 сентября,По рапорту Енисейского земского суда о зачислении в кантонисты незаконнорожденного солдатского А*** Комниного сына Семена
,221,3 октября,По представлению г-на начальника губернии о взыскании штрафа с чинов Енисейского рекрутского присутствия за неправильный прием в рекруты крестьянина Спирина
,222,1849 21 октября,"По представлению г-на начальника губернии о несвоевременном зачислении в Красноярскую роту военных кантонистов солдатских детей: Егора Туговикова, Венедикта Бешанова, Ефрема Шароглазова и Ивана Лысых"
