№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
,213,1849 2 мая,По предложению Его Превосходительства о производстве следствия о неправильном взыскании с юрака Пялки Полтина вахтером Юшковым хлебной недоимки
,214,1849 10 мая,"По рапорту Ачинской городовой ратуши о незаконном пользовании землей в городском выгоне, застроенной под гумно ачинскими мещанами"
,215,26,"По предложению г-на начальника губернии об объявлении крестьянину Левину на просьбу его об освобождении от взыскания штрафа, полученного за неправую торговлю"
,216,1849 20 июня,"По предложению г-на начальника губернии о несвоевременном зачислении в роту военных кантонистов солдатских детей: двух Васильев Казанцевых, Марка Вершинского, Ферафонта Кузнецова, Степана Качаева, Константина Мапринского, Матвея Похабова, Петра Белошапкина, Михаила Раменских, Иннокентия Раменских, Филипа Белобородова, Ефима Белобородова, Григория Ялыкова, Ванифонта Митрофанова, Лариона Мамышева и Андриана Ларионова"
