№ ведомости прошедшего года,Время поступления,Содержание дел
241,1849 26 октября,По отношению Витебского губернского правления о высылке в здешнюю губернию на житье сужденного там Правительствующим сенатом бывшего дворянина Рудольфа Крузе
242,28 ноября,По двум отношениям Енисейского губернского суда о скоропостижно умершем Степане Седакове
243,1849 14 декабря,О распределении сужденного Енисейским губернским судом поселенца Константина Негодяевского
