№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
226,184,2 августа,"По предложению Его Превосходительства о противозаконной продаже туруханским отдельным заседателем Яковицким рухляди, принадлежащей хлебному запасному капиталу"
227,185,1847 11 августа,По отношению Енисейской казенной палаты о взыскании должных сумм в военное ведомство за непоставленный хлеб подрядчиком Дрокиным и другими лицами
228,186,1847 11 августа,По предложению г-на начальника губернии о взыскании штрафных и процентных денег в сумме 3 489 руб. 67 1/4 коп. с неисправного поставщика крестьянина Ивана Ростовцева
