№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
229.0,187,1847 26 августа,По предложению г-на начальника губернии о взыскании недоимки числящейся на инородцах Енисейской губернии
,188,2 сентября,По рапорту Ачинского земского суда о принятом по отставке рядовом Федором Заремцовом сыне Петре
230.0,189,1 октября,"По представлению начальника губернии о взыскании с виновных 804 руб. 29 1/2 коп. сер., числящихся недоимкою по отчету Красноярской городской думы за 1845 г. за сенные оброчные статьи"
231.0,190,4 октября,"По предложению г-на начальника губернии о порядке составления и представления отчетов о городских капиталах и о взыскании недоимки, числящейся на содержателях откупных и оброчных статей"
,191,28 октября,"По предложению г-на начальника губернии о несвоевременно зачисленных в Красноярскую роту военных кантонистов солдатских сыновей: Иване Бурмакине, Прокопии Терских, Глебе Терских, Иване Терских,"
