№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
,173,8 августа,"По представлению Его Превосходительства о несвоевременном зачислении в Красноярскую роту военных кантонистов солдат Сергея Данилова, Бориса Назарова, Михаила Полежаева и Никиты Еремеева"
,174,1846 3 января,По предложению господина начальника губернии об открытии комиссии для приведения в порядок дел запасного хлебного капитала
,175,9 марта,По предложению Его Превосходительства о несвоевременном зачислении в роту военных кантонистов — солдатских детей Петра и двух Васильев Ермаковых и Якова Кулакова
224.0,176,1846 10 мая,По отношению Енисейской казенной палаты об обревизовании отчетности бывшего туруханского отдельного заседателя Кущевского по обороту казенных сумм и материалов
