№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
1,1,1837 15 июля,"О еврейских детях, надлежащих к зачислению в военные кантонисты"
2,2,1842 19 августа,"О беспорядках и упущениях, замеченных г-ном сенатором при ревизии присутственных мест, а именно Ачинских окружного и земского судов"
14,3,1844 13 июля,"О приведении в исполнение журнала Енисейского губернского совета по делу исправлявшего должность енисейского городничего Мичурина, обвинявшегося в удержании у себя беглеца Козьмы Карлова и дитя его Ивана и проч."
13,4,1844 29 июля,О выдаче *** чинам инвалидным 19 *** бланков
