№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
,169,1844 26 июня,"По предложению г-на начальника губернии о несвоевременно причисленных в Красноярскую роту военных кантонистов солдатских детей Фортуната Назарова, Василья Владимирова и Андрея Похабова"
*,170,11 октября,"По отношению Приказа общественного призрения о взыскании недоимок, принадлежащих приказу"
,171,2 марта,"По предложению г-на начальника губернии о солдатских детях, несвоевременно зачисленных в Красноярскую роту военных кантонистов Федоре Карпушове и Лаврентии Мироловцеве"
,172,1845 9 июня,"По предложению г-на губернатора губернии о солдатском сыне Иване Потылицыне, просящем о включении его в общество крестьян станицы Даурской"
