№ ведомости прошедшего года,Время поступления,Содержание дел
131,13 ноября,По постановлению губернского правления о рассылке по принадлежности денег по разным делам прошлого времени
132,25,По прошению красноярского 3-й гильдии купца Федора Комарова о неправильном запечатании кредиторами отца его принадлежащей ему лавки с товарами
133,18 декабря,По прошению степенного гражданина и красноярского 2-й гильдии купца Власьевского о взыскании с крестьян Косолапова и Носова или поручителей по них денег 196 руб. 26 1/2 коп. сер.
134,1849 3 января,По рапорту Красноярского земского суда о продаже имения крестьянина Басина на удовлетворение поступивших на него от разных лиц исков
135,23 февраля,По предложению г-на начальника губернии о взыскании в пользу канского купца Бурмакина с крестьянина Чанчикова денег
136,31 марта,По предложению г-на начальника губернии о приведении в исполнение заключения Совета об отобрании у поселенца Ялуторовского уезда Строителева купцом Прейном вещей
137,28 апреля,"О продаже наследственного дома, принадлежащего наследникам умершего енисейского мещанина Романа Колмагорова"
