№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
225.0,177,1846 19 июня,О незаконных поборах с инородцев Кайбальской степной думы
,178,1846 3 июля,По отношению Енисейского губернского правления с препро*** *** *** от Арефьева
,179,9 июля,"По предложению г-на начальника губернии о несвоевременном зачислении в роту военных кантонистов солдатских детей: Федора Кузьмина, Ивана Евтифьева, Григория Чуханова, Григория Савина, Романа Шаболина, Спиридона Краснова и Михаила Ваганова"
