№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
266.0,226,1847 12 марта,По докладу экспедиции о ссыльных об учинении выправок о непоступивших ссыльных в партиях 1844 и 1845 гг.
267.0,227,1847 16 июня,По отношению Тобольского губернского правления о перечислении в Минусинский округ поселенцев Гансона и проч.
,228,1847 4 сентября,По отношению III Отделения Енисейского губернского правления о сделании распоряжения ко взысканию с разных лиц кормовых денег и за одежду 157 руб. 3/4 коп. сер.
,229,1849 22 января,По рапорту смотрителя поселенцев Красноярского и Енисейского округов о доставлении сведения о поселенце Сухобузимской волости Иване Максимове за неправильное взыскание с него податей
,230,1849 26 ***,"По донесению Канского земского суда с присылкою денег 1 руб. 76 3/4 коп. сер., принадлежащих ссыльным Василию Феоклистову и из татар Фейдулину"
