№ ведомости прошедшего года,Время поступления,Содержание дел
234,13 апреля,По отношению Енисейского приказа общественного призрения о взыскании с цехового Спиридона Савельева за содержание его в больнице денег 10 руб. 24 коп. сер.
235,27 мая,По отношению Енисейского приказа общественного призрения о высылке в оный денег следующих с цеховых г. Ачинска за содержание их в больнице всего 15 руб. 3 коп. сер.
236,6 июля,По донесению Канского окружного суда о найденном мертвом теле крестьянина из поселенцев Абдуло Тактоулова
237,20 июля,"По копии из постановления II Отделения сего правления об имении, оставшемся после умершего поселенца деревни Серебряковой Тимофея Будакова"
