№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
248,209,11 ноября,"Белова, Данила Белобородова, Никифора Белова, Василия Белова, Демида Белова и Егора Юзаева
По предложению Его Превосходительства об исправлении при Ачинской полицейской управе пожарных инструментов и о заведении некоторых вновь"
25*,210,1848 22 декабря,По предложению г-на начальника губернии о поправке Маковского запасного магазина и о взыскании считающихся по этому магазину недоимок
,211,1849 8 марта,По предложению Его Превосходительства о несвоевременном причислении в военное ведомство кантониста Григория Жукова
,212,28 апреля,По предложению г-на енисейского гражданского губернатора о взыскании недоимочного хлеба с вахтера летнего Курейского магазина казака Ивана Юрлова и с помощника его казака Дубашинского
