№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
72,18,1839 5 января,"О разных злоупотреблениях, открытых по Назаровскому волостному правлению"
73,19,1846 5 января,О злоупотреблениях бывшего енисейского соляного пристава титулярного советника Сапожникова
74,20,25 февраля,О передержательстве дезертира Петухова крестьянином Фиоктистовым
77,21,1846 13 ию*я,О буйственных поступках казачьего сотника Козмина
78,22,2 октября,"О поселенцах Беликове, Бабаве и Добрынине, судимых за имение фальшивых увольнений"
80,23,12 ноября,"О крестьянах Алексееве, Сенцове, Желудинове, Денисове и проч., судимых по покраже у крестьянина Денисова"
