№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
168,117,1846 25 апреля,Мещанки Вороваевой
169,118,1840 25 июля,"О продаже имения, оставшегося после смерти коллежского асессора Шереховского"
171,119,1842 19 ноября,О вещах преступника Собольникова
173,120,1843 6 февраля,"Об имении, оставшемся после смерти статского советника Лосева"
174,121,1845 4 ноября,О взыскании с Минусинского купца Широкова 1 245 руб. 90 коп. сер.
175,122,1 декабря,О взыскании с разных лиц денег в удовлетворение канского купца Каминера
176,123,1846 25 апреля,О взыскании губернским секретарем Занадворовым с почетного гражданина Николая Мясникова 22 664 руб. 4/7 коп. сер.
177,124,18 мая,"О приведении в известность име* купцов: Попова и Комарова, оказавшимися несостоятельными к платежу казенных особенных долгов"
