№ ведомости прошедшего года,Время поступления,Содержание дел
180,30,"По отношению командира линейного Сибирского батальона по предложению г-на начальника губернии о несвоевременном причислении в роту военных кантонистов незаконнорожденных солдатских детей: Федора Сучкова, Венедикта Сучкова, Ивана Лавр***, Никифора Почекутова, Меркурия Чорононова и Григория Мазанова"
181,1846 26 октября,"По предложению г-на начальника губернии о несвоевременно зачисленных и не высланных на рать в Красноярскую роту военных кантонистов солдатских детей: Григория Кудринова, Панфила Канторова, Федора Селиванова, Петра Астафьева, Филипа ***, Анисима Бурмакина, Степана Мутовина, Павла Шадрина, Изосима Казанцева, Антона Толстихина, Павла Михайлова, Мартына Федорова и Петра Голощапова"
182,1847 3 июля,По рапорту Минусинского земского суда о пропущенном кантонисте Тите Саламатове
183,1847 17 июля,По представлению господина начальника губернии о несвоевременном объявлении о рождении солдатских детей Николая Таротчинова и Семена Бугаева
