№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
,166,1843 3 ноября,По предложению г-на енисейского гражданского губернатора по просьбе солдатки Авдотьи Латынцовой об исключении из ведомства в податное состояние двух сыновей ее Ивана и Абрама Латынцевых
219.0,167,1844 24 января,"О взыскании с губернского секретаря Ильи Емельянова за повышение его сим чином денег, равно не израсходованных от Красноярска до Иркутска, всего 132 руб."
,168,1844 13 марта,"По отношению Енисейской казенной палаты и предложению г-на начальника губернии о солдатских детях: Платоне Бродникове, Кириле Паштакове, Андрее Шальнове, Дмитрии Петелине, Евграфе Соломине, Алексее Демине, Арсентье Звереве, Васильи Кузнецове, Руфе Каменском, Иване Карнаусове, Дмитрии и Иване Каштановых"
