№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
82,24,14 декабря,О покраже из Канской городовой вед* 1 500 ассигнац.
83,25,1847 4 января,О болезни губернского архивариуса Степанова и о поручении особому чиновнику надзора за архивом
85,26,17 марта,О фальшиво составленной крестьянином Грудинским квитанции в сдаче хлеба чиновнику Гр***вскому и о проч.
86,27,31,"О поселенце Иване Монахове, нечаянно застрелившем из ружья крестьянского сына Михаила Степанова"
87,28,28 апреля,"О людях, прикосновенных к делу о растрате бывшим канским казначеем заведованных казенных денег"
88,29,1847 18 мая,"О сложении со счетов *** хлеба, числящегося по сельским магазинам Тинской и Анцирской волостей"
90,30,18 июня,О найденных деньгах при мертвом теле крестьянина Гогу***
91,31,21,О скоропостижно умершем государственном преступнике Лисовском
