№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
242.0,206,1848 24 августа,По рапорту Канского словесного суда о заготовлении новых рукавов к огнегасительным машинам и о проч.
245.0,207,1848 30 сентября,"По предложению г-на начальника губернии о приведении в известность имения чиновников Хращевского, Моргунова и канцеляриста Зиновия Кащенко и наложении на это запрещения по делу о фальшиво составленной доверенности и освидетельствованной в Красноярском земском суде вышеупомянутыми лицами в обеспечение поставки неисправных поставщиков Осетрова и Журавлева в Каменский винокуренный завод хлеба"
,208,1848 2 ноября,"По предложению г-на начальника губернии о несвоевременном объявлении о рождении солдатских детей Ивана Стригольщикова, Терентия Анашкина, Григория Уфимцева, Давыда Косова, Тимофея Ананьина, Семена Черных, Анания Шабалина, Герасима Арзамазова, Алексея Белошапкина, Семена Ершова, Данила Дорохова, Хрисанфа"
