№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
,217,5 июля,По предложению г-на енисейского гражданского губернатора *** расписок о неправильном требовании вахтерами запасных магазинов с должников за хлеб денег
,218,1849 29 июля,По предложению г-на начальника губернии об отказе солдатской жене Евдокии Осиповой в просьбе об отдаче ей для призрения в старости сына Василия и о производстве из следования к открытию виновных в непричислении его по принадлежности
,219,1849 12 сентября,"По предложению г-на енисейского гражданского губернатора, с выпискою из постановления Совета Главного управления Восточной Сибири, об обеспечении казенного взыскания по покупке в 1840 г. хлеба в Томской губернии чиновниками Скрябиным и Кисловским"
