№ ведомости прошедшего года,Время поступления,Содержание дел
138,16 июня,По предложению г-на управляющего Енисейскою губерниею о понуждении Минусинский земский суд к скорейшему удовлетворению просьбы купца Монахина по иску его с крестьянина Ширякова за потраву сена
139,9 марта,По рапорту горного исправника частных золотых промыслов Южной части Енисейского округа с описью имущества умершего титулярного советника Павла фон Глена
140,9 марта,По предложению г-на начальника Енисейской губернии с просьбою доверенного минусинской 2-й гильдии купчихи Матрены Беловой мещанина Хмелева о взыскании с чиновника Калашникова должных Беловой денег
141,26 августа,По рапорту Минусинской полицейской управы о долгах золотопромышленников
142,3 сентября,По рапорту Красноярского окружного суда с делом по иску купца Иноземцева с приказчика его крестьянина Малкова
143,10 сентября,"По отношению Орловского губернского правления об имении, оставшемся после смерти купца Николая Иноземцева"
