№ ведомости прошедшего года,Время поступления,Содержание дел
238,23 июня,По прошению поселенца Заледеевской волости Фадея Сидорченко о зачислении его в число наличных по деревне Бугачевой
239,31 августа,"По предложению господина, состоявшего в должности енисейского гражданского губернатора, о понуждении Красноярский земский суд к скорейшему окончанию дела по просьбе поселенцы Ладейской волости Александра Политова о заборе у него имения чебоксарским мещанином Алатырцовым"
240,11 декабря,По рапорту смотрителя поселенцев Ачинского и Минусинского округов об оставшемся имении после умершего поселенца Ульяна Егорова
