№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
252.0,223,1 февраля,По рапорту красноярского земского исправника о неправильно взысканных Погорельским волостным правлением в подати 385 руб. с льготных и пропитанных поселенцев
256.0,224,7 сентября,По донесению Красноярской общей городовой управы об исполнении решения над поселенцем Иваном Васильевым
,225,1846 5 декабря,По донесению смотрителя поселенцев Красноярского и Енисейского округов о беспорядках и неправильном взыскании с поселенцев податей по Нахвальской и Заледеевской волостям
