№ п/п,№ ведомости прошедшего года,Время поступления,Содержание дел
,196,-,По рапорту *** суда об открытом по выписанном в кантонисты солдатском сыне Игнатии Самойлове
,197,-,По рапорту *** суда о пропущенном по спискам кантонисте Артемии Сиротинине
,198,1848 3 марта,"По предложению г-на начальника губернии о несвоевременном объявлении о рождении солдатских детей: Марка Анашкина, Федора Анашкина, Василия Анашкина, Данила Стрельцова и Семена Максимовского"
236.0,199,13 мая,"По предложению Его Превосходительства о доставлении соображений касательно содержания на местах с почтовой известных сведений об исполнительных натуральных повинностях: подворной, поэтапной и других"
,200,***,"О *** наказания о потребности из сельских магазинов Минусинского округа в 1838, 1839 и 1840 гг. хлеба"
